11/28 21:09:48 UTC [input] <neo> shell arp -a
11/28 21:09:48 UTC [task] <T1059> Tasked beacon to run: arp -a
11/28 21:10:16 UTC [checkin] host called home, sent: 37 bytes
11/28 21:10:16 UTC [output]
received output:

Интерфейс: 192.168.111.4 --- 0xd
  адрес в Интернете      Физический адрес      Тип
  192.168.111.1         cc-2d-e0-35-20-14     динамический
  192.168.111.5         00-50-56-93-7d-dd     динамический
  192.168.111.127       ff-ff-ff-ff-ff-ff     статический
  224.0.0.22            01-00-5e-00-00-16     статический
  224.0.0.251           01-00-5e-00-00-fb     статический
  224.0.0.252           01-00-5e-00-00-fc     статический
  239.255.255.250       01-00-5e-7f-ff-fa     статический
  255.255.255.255       ff-ff-ff-ff-ff-ff     статический


